Time,Station,Change
2014-01-14,8,-2
2014-01-15,8,0
2014-01-16,8,0
2014-01-17,8,-1
2014-01-18,8,0
2014-01-19,8,4
2014-01-20,8,0
2014-01-22,8,3
2014-01-23,8,0
2014-01-24,8,-1
2014-01-25,8,1
2014-01-26,8,-1
2014-01-27,8,1
2014-01-28,8,-2
2014-01-29,8,0
2014-01-30,8,0
2014-01-31,8,3
2014-02-01,8,1
2014-02-03,8,1
2014-02-04,8,-4
2014-02-05,8,0
2014-02-06,8,1
2014-02-07,8,-2
2014-02-10,8,0
2014-02-11,8,0
2014-02-12,8,-1
2014-02-13,8,0
2014-02-14,8,0
2014-02-15,8,0
2014-02-17,8,0
2014-02-18,8,-1
2014-02-19,8,0
2014-02-20,8,-1
2014-02-21,8,-2
2014-02-22,8,-1
2014-02-24,8,1
2014-02-25,8,-4
2014-02-26,8,-2
2014-02-27,8,3
2014-02-28,8,0
2013-08-29,9,-2
2013-08-30,9,1
2013-09-01,9,-1
2013-09-02,9,0
2013-09-03,9,-1
2013-09-04,9,0
2013-09-05,9,2
2013-09-06,9,1
2013-09-07,9,0
2013-09-08,9,2
2013-09-09,9,-2
2013-09-10,9,1
2013-09-11,9,1
2013-09-12,9,2
2013-09-13,9,-1
2013-09-14,9,1
2013-09-15,9,1
2013-09-16,9,0
2013-09-17,9,2
2013-09-18,9,2
2013-09-19,9,1
2013-09-20,9,-2
2013-09-21,9,-1
2013-09-22,9,0
2013-09-23,9,3
2013-09-24,9,-2
2013-09-25,9,2
2013-09-26,9,4
2013-09-27,9,-1
2013-09-28,9,0
2013-09-29,9,1
2013-09-30,9,2
2013-10-01,9,1
2013-10-02,9,-1
