time,lat,lng
08/29/13 10:39:00,37.7868652086,-122.385942527
08/29/13 10:39:10,37.7869985693,-122.385884807
08/29/13 10:39:20,37.7871319301,-122.385827087
08/29/13 10:39:30,37.7872652908,-122.385769366
08/29/13 10:39:40,37.7873986516,-122.385711646
08/29/13 10:39:50,37.7875986927,-122.385625065
08/29/13 10:40:00,37.7877987338,-122.385538485
08/29/13 10:40:10,37.7879320946,-122.385480765
08/29/13 10:40:20,37.7880654553,-122.385423044
08/29/13 10:40:30,37.7881988161,-122.385365324
08/29/13 10:40:40,37.7883321769,-122.385307604
08/29/13 10:40:50,37.7884655376,-122.385249883
08/29/13 10:41:00,37.7885988984,-122.385192163
08/29/13 10:41:10,37.7887322591,-122.385134443
08/29/13 10:41:20,37.7888656199,-122.385076722
08/29/13 10:41:30,37.7889989806,-122.385019002
08/29/13 10:41:40,37.7891990218,-122.384932421
08/29/13 10:41:50,37.7893990629,-122.384845841
08/29/13 10:42:00,37.7895324236,-122.384788121
08/29/13 10:42:10,37.7896657844,-122.3847304
08/29/13 10:42:20,37.7897991451,-122.38467268
08/29/13 10:42:30,37.7899325059,-122.38461496
08/29/13 10:42:40,37.7900658666,-122.384557239
08/29/13 10:42:50,37.7901992274,-122.384499519
08/29/13 10:43:00,37.7903325881,-122.384441799
08/29/13 10:43:10,37.7904659489,-122.384384078
08/29/13 10:43:20,37.7905993096,-122.384326358
08/29/13 10:43:30,37.7907326704,-122.384268638
08/29/13 10:43:40,37.7908660311,-122.384210917
08/29/13 10:43:50,37.7909993919,-122.384153197
08/29/13 10:44:00,37.791199433,-122.384066617
08/29/13 10:44:10,37.7913994741,-122.383980036
08/29/13 10:44:20,37.7915328349,-122.383922316
08/29/13 10:44:30,37.7916661956,-122.383864595
08/29/13 10:44:40,37.7917995564,-122.383806875
08/29/13 10:44:50,37.7919329172,-122.383749155
08/29/13 10:45:00,37.7920662779,-122.383691434
08/29/13 10:45:10,37.7921996387,-122.383633714
08/29/13 10:45:20,37.7923329994,-122.383575994
08/29/13 10:45:30,37.7924663602,-122.383518273
08/29/13 10:45:40,37.7925997209,-122.383460553
08/29/13 10:45:50,37.792799762,-122.383373973
08/29/13 10:46:00,37.7929998032,-122.383287392
08/29/13 10:46:10,37.7931331639,-122.383229672
08/29/13 10:46:20,37.7932665247,-122.383171951
08/29/13 10:46:30,37.7933998854,-122.383114231
08/29/13 10:46:40,37.7935332462,-122.383056511
08/29/13 10:46:50,37.7936666069,-122.38299879
08/29/13 10:47:00,37.7937999677,-122.38294107
08/29/13 10:47:10,37.7939333284,-122.38288335
08/29/13 10:47:20,37.7940666892,-122.382825629
08/29/13 10:47:30,37.7942000499,-122.382767909
