,0
"(76, 48)",2346
"(41, 82)",1175
"(56, 60)",1951
"(60, 73)",1338
"(60, 56)",1679
"(8, 14)",1795
"(65, 62)",2232
"(12, 10)",1233
"(69, 55)",2675
"(2, 16)",2764
"(76, 47)",378
"(60, 64)",3334
"(6, 12)",1397
"(31, 28)",3843
"(21, 22)",791
"(60, 55)",2251
"(72, 82)",3662
"(54, 70)",1446
"(41, 51)",1078
"(69, 48)",3570
"(42, 82)",364
"(66, 76)",1961
"(6, 7)",1035
"(82, 76)",2203
"(57, 45)",1931
"(39, 69)",1540
"(63, 67)",2452
"(80, 9)",1509
"(61, 41)",3015
"(9, 3)",2610
"(69, 57)",1147
"(73, 62)",3053
"(41, 69)",3263
"(66, 71)",2551
"(77, 58)",2141
"(82, 71)",2415
"(57, 54)",2334
"(21, 24)",569
"(63, 72)",1845
"(48, 74)",790
"(72, 64)",3088
"(41, 61)",2678
"(9, 4)",2244
"(66, 47)",2312
"(73, 39)",2185
"(42, 68)",2316
"(5, 80)",3831
"(45, 57)",1788
"(49, 62)",1637
"(13, 16)",1947
"(3, 6)",1259
"(77, 51)",1226
"(82, 62)",2422
"(45, 74)",976
"(70, 82)",3442
"(57, 63)",1270
"(48, 65)",4165
"(29, 33)",1409
"(72, 71)",1455
"(80, 7)",3591
"(61, 59)",3463
"(9, 13)",1463
"(24, 25)",517
"(45, 50)",970
"(49, 55)",868
"(13, 9)",1303
"(70, 58)",2923
"(82, 57)",3041
"(45, 67)",2985
"(28, 29)",3931
"(57, 64)",1558
"(7, 11)",366
"(73, 64)",3436
"(32, 28)",1440
"(41, 47)",976
"(51, 66)",3620
"(76, 74)",1340
"(42, 54)",1958
"(6, 80)",3218
"(67, 66)",899
"(13, 2)",2304
"(70, 61)",639
"(21, 25)",658
"(74, 48)",1105
"(82, 48)",507
"(70, 76)",2003
"(57, 73)",2231
"(16, 8)",869
"(73, 73)",0
"(61, 77)",1449
"(66, 56)",2938
"(51, 75)",990
"(37, 36)",3395
"(76, 65)",2520
"(77, 77)",0
"(42, 49)",1725
"(10, 6)",1199
"(67, 75)",2437
"(74, 59)",2894
"(70, 71)",2192
"(57, 82)",3002
"(58, 64)",3085
"(4, 4)",0
"(67, 41)",3075
"(54, 60)",3121
"(58, 51)",3673
"(22, 21)",734
"(61, 70)",639
"(66, 51)",3937
"(77, 70)",2464
"(42, 56)",582
"(62, 63)",267
"(67, 48)",4007
"(70, 47)",2354
"(55, 68)",780
"(50, 59)",3169
"(71, 68)",1245
"(58, 75)",2669
"(4, 3)",926
"(46, 55)",2289
"(16, 6)",2121
"(54, 55)",1231
"(58, 58)",0
"(63, 61)",1013
"(34, 35)",405
"(59, 41)",2993
"(10, 8)",1051
"(67, 57)",1516
"(74, 45)",906
"(25, 26)",303
"(64, 75)",1402
"(50, 50)",0
"(71, 61)",2067
"(58, 82)",3808
"(4, 10)",825
"(46, 62)",2041
"(29, 30)",4761
"(51, 49)",301
"(59, 46)",2679
"(42, 42)",0
"(62, 41)",1739
"(67, 62)",2620
"(3, 80)",4362
"(64, 66)",3418
"(11, 16)",1135
"(67, 56)",2666
"(50, 45)",998
"(71, 58)",2022
"(75, 63)",1056
"(46, 65)",4808
"(51, 54)",585
"(62, 65)",2232
"(27, 33)",2532
"(59, 39)",1235
"(23, 21)",1169
"(64, 42)",2536
"(49, 77)",1915
"(63, 51)",1711
"(11, 9)",2214
"(14, 6)",945
"(71, 51)",1982
"(46, 72)",2800
"(51, 63)",877
"(5, 7)",738
"(62, 72)",2063
"(55, 59)",2932
"(59, 60)",4645
"(49, 70)",1813
"(50, 76)",1615
"(74, 70)",2628
"(4, 80)",3387
"(63, 56)",954
"(11, 14)",1623
"(14, 9)",3479
"(72, 48)",3727
"(75, 45)",788
"(47, 67)",2046
"(68, 68)",0
"(69, 82)",3505
"(2, 13)",1899
"(47, 48)",2106
"(55, 48)",1787
"(64, 56)",1631
"(50, 71)",1826
"(74, 65)",3522
"(11, 7)",559
"(68, 60)",3885
"(14, 16)",2874
"(72, 55)",3232
"(39, 56)",1396
"(32, 30)",2270
"(47, 72)",1486
"(49, 68)",1306
"(68, 67)",2099
"(56, 64)",1551
"(2, 4)",963
"(5, 9)",2759
"(47, 57)",1325
"(56, 47)",766
"(59, 74)",2920
"(64, 63)",724
"(31, 32)",3076
"(35, 37)",581
"(74, 72)",2297
"(75, 74)",564
"(63, 46)",1750
"(68, 59)",2146
"(72, 62)",2631
"(39, 49)",2239
"(68, 74)",1581
"(69, 68)",1409
"(16, 80)",4192
"(56, 71)",1217
"(76, 58)",1634
"(63, 58)",2551
"(56, 54)",1409
"(59, 67)",579
"(64, 54)",945
"(75, 67)",2294
"(8, 8)",0
"(65, 41)",4500
"(63, 65)",2499
"(39, 46)",1490
"(48, 62)",2250
"(12, 12)",0
"(69, 77)",2103
"(76, 49)",1852
"(75, 47)",537
"(56, 61)",1840
"(60, 74)",1474
"(6, 10)",818
"(60, 57)",3571
"(68, 41)",1811
"(54, 76)",3053
"(39, 39)",0
"(9, 16)",2899
"(12, 11)",676
"(69, 54)",1730
"(73, 51)",2062
"(27, 27)",0
"(60, 65)",4866
"(6, 13)",579
"(82, 82)",0
"(31, 31)",0
"(21, 21)",0
"(60, 48)",681
"(65, 59)",2179
"(54, 71)",3265
"(41, 50)",651
"(61, 47)",2179
"(12, 2)",2418
"(69, 63)",1667
"(76, 39)",419
"(41, 67)",2732
"(66, 77)",2468
"(6, 4)",429
"(82, 77)",1668
"(39, 68)",1415
"(65, 60)",4928
"(41, 59)",2768
"(80, 10)",2877
"(9, 2)",3172
"(69, 56)",2573
"(73, 61)",3552
"(41, 68)",2171
"(45, 63)",1397
"(66, 68)",2797
"(77, 57)",1746
"(82, 68)",2501
"(63, 75)",725
"(48, 75)",1254
"(72, 65)",1940
"(41, 60)",1791
"(9, 11)",1742
"(41, 77)",679
"(42, 69)",3496
"(45, 56)",860
