Trip ID,Duration,Start Date
4886,971,8/29/2013 18:14
4885,644,8/29/2013 18:14
4887,685,8/29/2013 18:15
4888,1077,8/29/2013 18:16
4889,638,8/29/2013 18:18
4891,1244,8/29/2013 18:20
4892,1492,8/29/2013 18:21
4894,2069,8/29/2013 18:22
4893,4756,8/29/2013 18:22
4895,1326,8/29/2013 18:23
4898,1804,8/29/2013 18:24
4899,802,8/29/2013 18:24
4900,1168,8/29/2013 18:25
4902,560,8/29/2013 18:26
4901,450,8/29/2013 18:26
4903,546,8/29/2013 18:26
4904,436,8/29/2013 18:26
4905,459,8/29/2013 18:28
4906,277,8/29/2013 18:28
4907,879,8/29/2013 18:31
4908,1731,8/29/2013 18:34
4909,1220,8/29/2013 18:36
4910,412,8/29/2013 18:37
4911,259,8/29/2013 18:38
4912,601,8/29/2013 18:39
4913,1263,8/29/2013 18:41
4917,169,8/29/2013 18:45
4916,1097,8/29/2013 18:45
4918,615,8/29/2013 18:46
4919,1879,8/29/2013 18:48
4920,1880,8/29/2013 18:48
4922,3349,8/29/2013 18:50
4924,1313,8/29/2013 18:52
4923,1329,8/29/2013 18:52
4926,941,8/29/2013 18:53
4925,943,8/29/2013 18:53
4927,103,8/29/2013 18:54
4928,582,8/29/2013 18:55
4929,590,8/29/2013 18:55
4931,826,8/29/2013 18:56
4933,535,8/29/2013 18:56
4934,545,8/29/2013 18:56
4935,885,8/29/2013 18:57
4936,474,8/29/2013 18:58
4937,642,8/29/2013 18:59
4939,816,8/29/2013 19:01
4938,840,8/29/2013 19:01
4940,879,8/29/2013 19:03
4942,486,8/29/2013 19:05
4941,337,8/29/2013 19:05
4944,188,8/29/2013 19:06
4943,970,8/29/2013 19:06
4946,827,8/29/2013 19:07
4947,1339,8/29/2013 19:08
4945,797,8/29/2013 19:08
4948,1010,8/29/2013 19:10
4949,1524,8/29/2013 19:11
4950,1424,8/29/2013 19:12
4951,1409,8/29/2013 19:13
4953,423,8/29/2013 19:14
4954,1210,8/29/2013 19:15
4956,1072,8/29/2013 19:15
4955,360,8/29/2013 19:15
4957,1969,8/29/2013 19:17
4959,292,8/29/2013 19:18
4958,454,8/29/2013 19:18
4960,1790,8/29/2013 19:20
4961,387,8/29/2013 19:21
4963,1323,8/29/2013 19:24
4964,853,8/29/2013 19:32
4966,1245,8/29/2013 19:32
4965,129,8/29/2013 19:32
4968,346,8/29/2013 19:35
4967,454,8/29/2013 19:35
4969,527,8/29/2013 19:36
4971,936,8/29/2013 19:36
4970,404,8/29/2013 19:36
4972,837,8/29/2013 19:38
4973,768,8/29/2013 19:38
4974,877,8/29/2013 19:38
4975,852,8/29/2013 19:39
4976,926,8/29/2013 19:39
4979,747,8/29/2013 19:40
4980,475,8/29/2013 19:40
4978,1475,8/29/2013 19:40
4977,1481,8/29/2013 19:40
4981,399,8/29/2013 19:41
4983,1009,8/29/2013 19:42
4982,146,8/29/2013 19:42
4984,998,8/29/2013 19:43
4987,662,8/29/2013 19:45
4989,1499,8/29/2013 19:47
4988,1539,8/29/2013 19:47
4991,902,8/29/2013 19:48
4990,579,8/29/2013 19:48
4992,1189,8/29/2013 19:52
4995,1065,8/29/2013 19:53
4993,1112,8/29/2013 19:53
4994,214,8/29/2013 19:54
4997,841,8/29/2013 19:57
4998,374,8/29/2013 19:57
4996,410,8/29/2013 19:57
4999,405,8/29/2013 19:58
5000,932,8/29/2013 19:59
5001,236,8/29/2013 20:00
5002,236,8/29/2013 20:01
5004,430,8/29/2013 20:05
5005,645,8/29/2013 20:06
5006,269,8/29/2013 20:09
5007,1016,8/29/2013 20:11
5010,561,8/29/2013 20:12
5009,690,8/29/2013 20:12
5008,623,8/29/2013 20:12
5013,440,8/29/2013 20:13
5017,607,8/29/2013 20:13
5015,449,8/29/2013 20:13
5012,812,8/29/2013 20:13
5014,538,8/29/2013 20:13
5011,834,8/29/2013 20:13
5016,537,8/29/2013 20:14
5020,684,8/29/2013 20:22
5022,1569,8/29/2013 20:24
5021,1899,8/29/2013 20:24
5023,1569,8/29/2013 20:25
5024,555,8/29/2013 20:25
5026,857,8/29/2013 20:27
5027,912,8/29/2013 20:28
5030,818,8/29/2013 20:29
5029,541,8/29/2013 20:29
5031,664,8/29/2013 20:32
5032,363,8/29/2013 20:33
5034,1511,8/29/2013 20:34
5038,994,8/29/2013 20:36
5037,1345,8/29/2013 20:36
5039,1174,8/29/2013 20:42
5040,1253,8/29/2013 20:42
5041,976,8/29/2013 20:42
5043,691,8/29/2013 20:46
5045,757,8/29/2013 20:51
5046,531,8/29/2013 20:57
5048,1107,8/29/2013 21:00
5049,1075,8/29/2013 21:00
5050,396,8/29/2013 21:01
5053,1701,8/29/2013 21:04
5052,1719,8/29/2013 21:04
5054,727,8/29/2013 21:05
5056,1171,8/29/2013 21:09
5057,284,8/29/2013 21:10
5058,704,8/29/2013 21:14
5059,679,8/29/2013 21:14
5060,436,8/29/2013 21:22
5061,433,8/29/2013 21:23
5062,402,8/29/2013 21:27
5063,1725,8/29/2013 21:31
5066,481,8/29/2013 21:35
5067,423,8/29/2013 21:38
