Trip ID,Duration,Start Date,End Date,Start Station Id,End Station Id,Day
4723,654,8/29/2013 16:33,8/29/2013 16:44,66,57,3
4285,657,8/29/2013 11:56,8/29/2013 12:07,50,48,3
4413,659,8/29/2013 12:43,8/29/2013 12:54,47,42,3
5104,661,8/29/2013 23:00,8/29/2013 23:11,63,65,3
4987,662,8/29/2013 19:45,8/29/2013 19:56,9,6,3
4806,663,8/29/2013 17:27,8/29/2013 17:38,39,67,3
5031,664,8/29/2013 20:32,8/29/2013 20:44,65,39,3
5101,666,8/29/2013 22:51,8/29/2013 23:02,46,39,3
4538,668,8/29/2013 13:45,8/29/2013 13:56,65,61,3
4674,671,8/29/2013 15:48,8/29/2013 15:59,71,50,3
5106,672,8/29/2013 23:16,8/29/2013 23:27,60,51,3
4349,674,8/29/2013 12:15,8/29/2013 12:26,9,12,3
4649,676,8/29/2013 15:26,8/29/2013 15:38,39,50,3
4797,677,8/29/2013 17:22,8/29/2013 17:33,49,70,3
4446,678,8/29/2013 13:00,8/29/2013 13:11,75,72,3
4648,679,8/29/2013 15:26,8/29/2013 15:38,39,50,3
4878,679,8/29/2013 18:09,8/29/2013 18:21,77,58,3
5059,679,8/29/2013 21:14,8/29/2013 21:26,73,71,3
4651,684,8/29/2013 15:26,8/29/2013 15:38,39,50,3
4676,684,8/29/2013 15:49,8/29/2013 16:01,65,72,3
5020,684,8/29/2013 20:22,8/29/2013 20:34,70,72,3
4887,685,8/29/2013 18:15,8/29/2013 18:26,50,39,3
4406,687,8/29/2013 12:41,8/29/2013 12:53,74,60,3
4136,688,8/29/2013 10:20,8/29/2013 10:31,27,27,3
4552,688,8/29/2013 13:54,8/29/2013 14:06,76,48,3
4407,690,8/29/2013 12:41,8/29/2013 12:53,74,60,3
5009,690,8/29/2013 20:12,8/29/2013 20:23,59,67,3
5043,691,8/29/2013 20:46,8/29/2013 20:58,54,50,3
4460,693,8/29/2013 13:08,8/29/2013 13:20,61,50,3
4556,693,8/29/2013 13:56,8/29/2013 14:08,41,72,3
5108,694,8/29/2013 23:57,8/30/2013 0:09,71,61,3
4562,696,8/29/2013 14:00,8/29/2013 14:12,50,61,3
4624,697,8/29/2013 15:01,8/29/2013 15:13,35,36,3
4644,698,8/29/2013 15:20,8/29/2013 15:32,76,50,3
4350,701,8/29/2013 12:16,8/29/2013 12:27,41,47,3
4403,702,8/29/2013 12:40,8/29/2013 12:52,72,74,3
4522,702,8/29/2013 13:37,8/29/2013 13:49,68,66,3
4874,704,8/29/2013 18:07,8/29/2013 18:19,3,8,3
5058,704,8/29/2013 21:14,8/29/2013 21:26,73,71,3
4642,710,8/29/2013 15:20,8/29/2013 15:32,76,50,3
4643,710,8/29/2013 15:20,8/29/2013 15:32,76,50,3
4466,711,8/29/2013 13:06,8/29/2013 13:18,75,55,3
4243,720,8/29/2013 11:26,8/29/2013 11:38,70,70,3
4346,724,8/29/2013 12:14,8/29/2013 12:26,51,70,3
4872,726,8/29/2013 18:06,8/29/2013 18:19,50,73,3
5054,727,8/29/2013 21:05,8/29/2013 21:17,76,41,3
4503,728,8/29/2013 13:29,8/29/2013 13:41,64,48,3
4823,733,8/29/2013 17:37,8/29/2013 17:50,57,67,3
4979,747,8/29/2013 19:40,8/29/2013 19:52,50,72,3
4586,748,8/29/2013 14:17,8/29/2013 14:30,69,39,3
4425,752,8/29/2013 12:51,8/29/2013 13:04,75,75,3
4545,752,8/29/2013 13:50,8/29/2013 14:02,45,60,3
4652,753,8/29/2013 15:28,8/29/2013 15:40,73,68,3
5083,755,8/29/2013 22:05,8/29/2013 22:18,64,50,3
4842,756,8/29/2013 17:48,8/29/2013 18:01,22,21,3
5045,757,8/29/2013 20:51,8/29/2013 21:03,70,69,3
4277,759,8/29/2013 11:50,8/29/2013 12:03,58,47,3
4670,759,8/29/2013 15:40,8/29/2013 15:53,59,77,3
4288,760,8/29/2013 11:57,8/29/2013 12:10,49,76,3
4519,763,8/29/2013 13:36,8/29/2013 13:48,9,6,3
4080,764,8/29/2013 9:36,8/29/2013 9:49,66,69,3
4803,764,8/29/2013 17:24,8/29/2013 17:37,77,66,3
4339,765,8/29/2013 12:12,8/29/2013 12:25,49,50,3
4340,767,8/29/2013 12:13,8/29/2013 12:26,35,36,3
4404,768,8/29/2013 12:40,8/29/2013 12:53,39,72,3
4973,768,8/29/2013 19:38,8/29/2013 19:51,73,47,3
4832,776,8/29/2013 17:44,8/29/2013 17:57,77,70,3
4444,777,8/29/2013 12:57,8/29/2013 13:10,11,2,3
4703,778,8/29/2013 16:15,8/29/2013 16:28,50,76,3
4838,778,8/29/2013 17:46,8/29/2013 17:59,28,27,3
4851,783,8/29/2013 17:55,8/29/2013 18:08,56,73,3
4358,784,8/29/2013 12:20,8/29/2013 12:33,51,56,3
4877,792,8/29/2013 18:09,8/29/2013 18:23,47,66,3
4671,797,8/29/2013 15:44,8/29/2013 15:57,66,77,3
4945,797,8/29/2013 19:08,8/29/2013 19:21,62,48,3
4752,799,8/29/2013 16:58,8/29/2013 17:11,68,65,3
4899,802,8/29/2013 18:24,8/29/2013 18:37,54,55,3
4702,804,8/29/2013 16:14,8/29/2013 16:27,50,76,3
4739,809,8/29/2013 16:44,8/29/2013 16:58,47,60,3
5079,809,8/29/2013 22:01,8/29/2013 22:14,48,41,3
4736,812,8/29/2013 16:42,8/29/2013 16:56,65,65,3
